lat,lon,data_id,event_date,year,event_type,sub_event_type,actor1,actor2,region,country,admin1,lat,lon,fatalities
1.4792,-75.4364,8643511,12-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Caqueta,1.4792,-75.4364,1
7.8939,-72.5078,8643845,12-Nov-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Norte de Santander,7.8939,-72.5078,0
6.2246,-77.4034,8643619,11-Nov-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Choco,6.2246,-77.4034,1
3.0161,-76.4854,8643723,11-Nov-21,2021,Explosions/Remote violence,Grenade,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.0161,-76.4854,0
6.2246,-77.4034,8643501,10-Nov-21,2021,Battles,Armed clash,Gulf Clan,Police Forces of Colombia (2018-),South America,Colombia,Choco,6.2246,-77.4034,2
2.3302,-72.6272,8643510,10-Nov-21,2021,Violence against civilians,Attack,FARC Dissident,Civilians (Colombia),South America,Colombia,Guaviare,2.3302,-72.6272,3
8.5768,-73.0948,8643498,09-Nov-21,2021,Violence against civilians,Abduction/forced disappearance,FARC Dissident - 33rd Front,Civilians (Colombia),South America,Colombia,Norte de Santander,8.5768,-73.0948,0
4.2121,-76.1556,8643500,09-Nov-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - Mobile Column,South America,Colombia,Valle del Cauca,4.2121,-76.1556,1
8.5768,-73.0948,8643617,09-Nov-21,2021,Battles,Armed clash,FARC Dissident,Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.5768,-73.0948,0
2.7981,-76.4844,8643722,09-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.7981,-76.4844,0
7.9738,-75.4168,8643509,08-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cordoba,7.9738,-75.4168,1
8.255,-76.1507,8643618,08-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cordoba,8.255,-76.1507,1
7.3139,-75.8252,8643499,07-Nov-21,2021,Battles,Armed clash,Gulf Clan,Military Forces of Colombia (2018-),South America,Colombia,Antioquia,7.3139,-75.8252,4
7.1653,-75.4392,8643513,07-Nov-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Gulf Clan,Civilians (Colombia),South America,Colombia,Antioquia,7.1653,-75.4392,1
1.329,-75.8786,8643507,06-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Caqueta,1.329,-75.8786,1
4.3769,-74.6703,8643508,06-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cundinamarca,4.3769,-74.6703,3
3.1738,-76.2613,8627695,05-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.1738,-76.2613,2
0.4793,-75.4262,8643506,05-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Putumayo,0.4793,-75.4262,3
3.8758,-77.0117,8643565,05-Nov-21,2021,Violence against civilians,Abduction/forced disappearance,La Local Gang,Civilians (Colombia),South America,Colombia,Valle del Cauca,3.8758,-77.0117,0
7.1653,-75.4392,8643638,05-Nov-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Antioquia,7.1653,-75.4392,3
7.8939,-72.5078,8643842,05-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,7.8939,-72.5078,1
8.2475,-73.3558,8627584,04-Nov-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.2475,-73.3558,0
2.2568,-77.2495,8627672,04-Nov-21,2021,Battles,Armed clash,ELN,FARC Dissident,South America,Colombia,Cauca,2.2568,-77.2495,0
0.6638,-76.873,8643497,04-Nov-21,2021,Violence against civilians,Attack,CDF,Civilians (Colombia),South America,Colombia,Putumayo,0.6638,-76.873,3
5.88,-71.8909,8627582,03-Nov-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,FARC Dissident - 28th Front,Military Forces of Colombia (2018-),South America,Colombia,Casanare,5.88,-71.8909,4
8.6395,-72.7359,8627583,03-Nov-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.6395,-72.7359,0
7.9382,-72.6047,8643843,02-Nov-21,2021,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,7.9382,-72.6047,0
6.9639,-75.4188,8627578,01-Nov-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - 36th Front,South America,Colombia,Antioquia,6.9639,-75.4188,2
2.3845,-77.2157,8627579,01-Nov-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.3845,-77.2157,0
3.0272,-76.5196,8627580,01-Nov-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.0272,-76.5196,2
